	fast
t	θ
0.000000E0	-4.467057E0
3.304693E-2	-4.408774E0
6.609385E-2	-4.467057E0
9.914078E-2	-4.525202E0
1.321877E-1	-4.530199E0
1.652346E-1	-4.525202E0
1.982816E-1	-4.641079E0
2.313285E-1	-4.761633E0
2.643754E-1	-4.966396E0
2.974223E-1	-5.132683E0
3.304693E-1	-5.320658E0
3.635162E-1	-5.577222E0
3.965631E-1	-5.952905E0
4.296100E-1	-6.453012E0
4.626570E-1	-7.325783E0
4.957039E-1	-7.964490E0
5.287508E-1	-8.780685E0
5.617978E-1	-9.780303E0
5.948447E-1	-1.070315E1
6.278916E-1	-1.179311E1
6.609385E-1	-1.308087E1
6.939855E-1	-1.462734E1
7.270324E-1	-1.658569E1
7.600793E-1	-1.840592E1
7.931262E-1	-2.079852E1
8.261732E-1	-2.307298E1
8.592201E-1	-2.545054E1
8.922670E-1	-2.845470E1
9.253139E-1	-3.105815E1
9.583609E-1	-3.403469E1
9.914078E-1	-3.520775E1
1.024455E0	-3.762838E1
1.057502E0	-4.041745E1
1.090549E0	-4.310868E1
1.123596E0	-4.565136E1
1.156642E0	-4.784275E1
1.189689E0	-4.980886E1
1.222736E0	-5.198543E1
1.255783E0	-5.407698E1
1.288830E0	-5.582606E1
1.321877E0	-5.770372E1
1.354924E0	-5.934296E1
1.387971E0	-6.093182E1
1.421018E0	-6.257556E1
1.454065E0	-6.414210E1
1.487112E0	-6.559365E1
1.520159E0	-6.708237E1
1.553206E0	-6.857507E1
1.586252E0	-6.976378E1
1.619299E0	-7.103796E1
1.652346E0	-7.215241E1
1.685393E0	-7.323331E1
1.718440E0	-7.425936E1
1.751487E0	-7.530741E1
1.784534E0	-7.640589E1
1.817581E0	-7.703751E1
1.850628E0	-7.820362E1
1.883675E0	-7.900243E1
1.916722E0	-8.016265E1
1.949769E0	-8.108865E1
1.982816E0	-8.148351E1
2.015863E0	-8.235249E1
2.048909E0	-8.330643E1
2.081956E0	-8.441472E1
2.115003E0	-8.528467E1
