t	θ
0.000000E0	-7.146094E0
3.311807E-2	-7.184743E0
6.623613E-2	-7.146094E0
9.935420E-2	-7.162768E0
1.324723E-1	-7.118435E0
1.655903E-1	-7.074094E0
1.987084E-1	-6.941020E0
2.318265E-1	-6.946425E0
2.649445E-1	-6.946425E0
2.980626E-1	-6.941020E0
3.311807E-1	-6.907397E0
3.642987E-1	-6.912786E0
3.974168E-1	-6.852261E0
4.305349E-1	-6.802574E0
4.636529E-1	-6.896645E0
4.967710E-1	-6.941020E0
5.298891E-1	-6.846932E0
5.630071E-1	-6.935622E0
5.961252E-1	-7.079601E0
6.292433E-1	-7.063105E0
6.623613E-1	-7.140554E0
6.954794E-1	-7.273096E0
7.285974E-1	-7.499634E0
7.617155E-1	-7.758406E0
7.948336E-1	-8.242597E0
8.279516E-1	-8.820096E0
8.610697E-1	-9.476891E0
8.941878E-1	-1.025759E1
9.273058E-1	-1.105012E1
9.604239E-1	-1.183262E1
9.935420E-1	-1.209282E1
1.026660E0	-1.254457E1
1.059778E0	-1.314572E1
1.092896E0	-1.368363E1
1.126014E0	-1.433853E1
1.159132E0	-1.511378E1
1.192250E0	-1.628985E1
1.225368E0	-1.731511E1
1.258487E0	-1.838260E1
1.291605E0	-1.946666E1
1.324723E0	-2.069670E1
1.357841E0	-2.182339E1
1.390959E0	-2.265996E1
1.424077E0	-2.381466E1
1.457195E0	-2.461330E1
1.490313E0	-2.559332E1
1.523431E0	-2.633280E1
1.556549E0	-2.715335E1
1.589667E0	-2.787278E1
1.622785E0	-2.859383E1
1.655903E0	-2.921068E1
1.689021E0	-3.013667E1
1.722139E0	-3.075095E1
1.755257E0	-3.139461E1
1.788376E0	-3.208634E1
1.821494E0	-3.281803E1
1.854612E0	-3.360117E1
1.887730E0	-3.430938E1
1.920848E0	-3.516836E1
1.953966E0	-3.587728E1
1.987084E0	-3.630866E1
2.020202E0	-3.712390E1
2.053320E0	-3.796571E1
2.086438E0	-3.891059E1
2.119556E0	-3.959967E1
2.152674E0	-4.039487E1
2.185792E0	-4.135187E1
2.218910E0	-4.205125E1
2.252028E0	-4.281520E1
2.285147E0	-4.339048E1
2.318265E0	-4.396135E1
2.351383E0	-4.443991E1
2.384501E0	-4.482328E1
2.417619E0	-4.549448E1
2.450737E0	-4.597336E1
2.483855E0	-4.654816E1
2.516973E0	-4.731664E1
2.550091E0	-4.805236E1
2.583209E0	-4.885596E1
2.616327E0	-4.970050E1
2.649445E0	-5.044361E1
2.682563E0	-5.115893E1
2.715681E0	-5.189871E1
2.748799E0	-5.251866E1
2.781918E0	-5.303861E1
2.815036E0	-5.352175E1
2.848154E0	-5.388691E1
2.881272E0	-5.418888E1
2.914390E0	-5.450203E1
2.947508E0	-5.492174E1
2.980626E0	-5.499662E1
3.013744E0	-5.537576E1
3.046862E0	-5.579561E1
3.079980E0	-5.624019E1
3.113098E0	-5.676106E1
3.146216E0	-5.728136E1
3.179334E0	-5.786388E1
3.212452E0	-5.832513E1
3.245570E0	-5.904042E1
3.278689E0	-5.957545E1
3.311807E0	-6.007664E1
3.344925E0	-6.060518E1
3.378043E0	-6.105072E1
3.411161E0	-6.162658E1
3.444279E0	-6.201851E1
3.477397E0	-6.234584E1
3.510515E0	-6.273596E1
3.543633E0	-6.298352E1
3.576751E0	-6.316826E1
3.609869E0	-6.345617E1
3.642987E0	-6.360028E1
3.676105E0	-6.405226E1
3.709223E0	-6.427925E1
3.742341E0	-6.456605E1
3.775460E0	-6.491585E1
3.808578E0	-6.526580E1
3.841696E0	-6.549404E1
3.874814E0	-6.580248E1
3.907932E0	-6.623205E1
3.941050E0	-6.672100E1
3.974168E0	-6.707701E1
4.007286E0	-6.734927E1
4.040404E0	-6.775975E1
4.073522E0	-6.830666E1
4.106640E0	-6.886274E1
4.139758E0	-6.942894E1
4.172876E0	-7.001221E1
4.205994E0	-7.063935E1
4.239112E0	-7.112099E1
4.272231E0	-7.154450E1
4.305349E0	-7.193807E1
4.338467E0	-7.240526E1
4.371585E0	-7.280189E1
4.404703E0	-7.316520E1
4.437821E0	-7.358985E1
4.470939E0	-7.398326E1
4.504057E0	-7.438866E1
4.537175E0	-7.484573E1
4.570293E0	-7.528279E1
4.603411E0	-7.567473E1
4.636529E0	-7.616658E1
4.669647E0	-7.641206E1
4.702765E0	-7.690523E1
4.735883E0	-7.718532E1
4.769001E0	-7.751062E1
4.802120E0	-7.799092E1
4.835238E0	-7.830712E1
4.868356E0	-7.865134E1
4.901474E0	-7.901358E1
4.934592E0	-7.943911E1
4.967710E0	-7.969927E1
5.000828E0	-8.025181E1
5.033946E0	-8.063071E1
5.067064E0	-8.104752E1
5.100182E0	-8.146460E1
5.133300E0	-8.184281E1
5.166418E0	-8.231793E1
5.199536E0	-8.269479E1
5.232654E0	-8.287730E1
5.265772E0	-8.356299E1
5.298891E0	-8.384274E1
5.332009E0	-8.431927E1
5.365127E0	-8.462657E1
